Year,Inflation Rate(%),Unemployment Rate(%)
1991,13.87,7.72
1992,11.79,7.73
1993,6.33,7.75
1994,10.25,7.65
1995,10.22,7.61
1996,8.98,7.56
1997,7.16,7.61
1998,13.23,7.64
1999,4.67,7.62
2000,4.01,7.62
2001,3.78,7.65
2002,4.3,7.75
2003,3.81,7.68
2004,3.77,7.63
2005,4.25,7.55
2006,5.8,7.55
2007,6.37,7.56
2008,8.35,7.66
2009,10.88,7.66
2010,11.99,7.65
2011,8.91,7.62
2012,9.48,7.67
2013,10.02,7.71
2014,6.67,7.67
2015,4.91,7.63
2016,4.95,7.6
2017,3.33,7.62
2018,3.94,7.65
2019,3.73,6.51
2020,6.62,7.86
2021,5.13,6.38
2022,6.7,4.82
2023,5.65,4.17
2024,4.95,4.2
